book_id,title,authors,avg_rating,review_count,num_pages,lang,1_star,2_star,3_star,4_star,5_star,genres,series,year,description,similar_books
54739527,ベルセルク 41 [Berserk 41],Kentaro Miura|三浦建太郎,4.8,432.0,180.0,Japanese,9,18,132,555,3825,Manga|Fantasy|Comics|Horror|Graphic Novels|Fiction|Seinen,79796-berserk,2021.0,"花吹雪く王ダナンの術によって、長い悪夢から目覚めたキャスカは、忌まわしき記憶に苛まれ、未だガッツと対面できずにいた。
一行が妖精島で身体を休める中、シールケとファルネーゼは、新たな力を求めて修行場へと向かう。
束の間の平穏を過ごすガッツの前に、髑髏の騎士が現れる…! ?",453706:4.7:1906|6082928:4.59:2326|1842376:4.69:1842|251910:4.7:1891|4481992:4.63:1779|251909:4.67:1937|6381255:4.59:1770|13557:4.6:2057|8470939:4.62:1651|3650022:4.59:2127|1982828:4.69:1827|1324795:4.6:2179|7749279:4.64:1669|251911:4.62:1910|1842377:4.53:2081|251913:4.66:1998|1324783:4.57:2226|6082947:4.62:2297|7131571:4.54:1707|8853350:4.63:1627
41540926,ベルセルク 40 [Berserk 40],Kentaro Miura|三浦建太郎,4.75,259.0,180.0,Japanese,11,33,188,764,4183,Manga|Fantasy|Comics|Horror|Fiction|Graphic Novels|Comics Manga,79796-berserk,2018.0,"妖精島で、精神を回復する術を持つという「花吹雪く王」に謁見したガッツ一行。夢の回廊を廻り、キャスカの深層世界へと降り立ったシールケとファルネーゼは記憶の欠片を集め、遂に最後の欠片に辿り着く…! 果たしてキャスカはかつての姿を取り戻すのか!? 
2018年9月刊",1842377:4.53:2081|1324795:4.6:2179|1324783:4.57:2226|251910:4.7:1891|453711:4.54:2760|4481992:4.63:1779|251909:4.67:1937|453706:4.7:1906|13557:4.6:2057|8470939:4.62:1651|3650022:4.59:2127|251913:4.66:1998|251911:4.62:1910|6082947:4.62:2297|1842376:4.69:1842|7749279:4.64:1669|6082928:4.59:2326|6381255:4.59:1770|1842417:4.6:2450|1982828:4.69:1827
35524848,ベルセルク 39 [Berserk 39],Kentaro Miura|三浦建太郎,4.73,211.0,196.0,Japanese,7,35,198,899,4057,Manga|Fantasy|Comics|Horror|Fiction|Graphic Novels|Comics Manga,79796-berserk,2017.0,ついにパックの故郷・妖精島に到着したガッツ達。キャスカの心を取り戻すため、妖精王の元へ急ぐが!?,1539916:4.56:2599|996564:4.59:2453|1842417:4.6:2450|251910:4.7:1891|4481992:4.63:1779|1324764:4.51:4233|8470939:4.62:1651|453706:4.7:1906|1324795:4.6:2179|251909:4.67:1937|1324783:4.57:2226|13557:4.6:2057|7749279:4.64:1669|6381255:4.59:1770|251913:4.66:1998|453711:4.54:2760|1842376:4.69:1842|251911:4.62:1910|1842377:4.53:2081|8853350:4.63:1627
248936,"Berserk, Vol. 26",Kentaro Miura,4.69,288.0,224.0,English,21,68,350,1492,6103,Manga|Fantasy|Comics|Horror|Graphic Novels|Fiction|Seinen,79796-berserk,2003.0,"Guts, the Black Swordsman, goes from the frying pan to the fire as he must enter the mating chamber in the horrifying lair of trolls to rescue his love, Casca, and the Lady Farnese from the loathsome attentions of the hideous beasts. But while even an army of trolls cannot stand against Guts's boundless fury, the mightiest of warriors is no match for a demon lord. And so when Slan of the Godhand manifests from the entrails of slain trolls and takes Guts into her deadly embrace, Guts discovers he may not only be fighting for his life, but for his very soul!",251910:4.7:1891|8470939:4.62:1651|453706:4.7:1906|4481992:4.63:1779|6381255:4.59:1770|7749279:4.64:1669|8853350:4.63:1627|251909:4.67:1937|251911:4.62:1910|1842376:4.69:1842|7131571:4.54:1707|13557:4.6:2057|251913:4.66:1998|1982828:4.69:1827|1842377:4.53:2081|1027674:4.52:5766|3650022:4.59:2127|15743989:4.65:1581|18143818:4.64:1530|1539916:4.56:2599
8728667,"Berserk, Vol. 34",Kentaro Miura,4.68,268.0,240.0,English,8,69,337,1198,4991,Manga|Fantasy|Comics|Horror|Graphic Novels|Fiction|Seinen,79796-berserk,2009.0,"Faced with the Kushan emperor's horrific new form and the bloody swath of destruction and spawning demons he leaves in his wake with every step, the soldiers in Griffith's new Band of the Hawk must assume their true unholy forms to battle the emperor, revealing their true faces to the citizens of Midland. How will these tormented refugees react when they discover that their would-be rescuers are as monstrous as their enemies? And could this titanic confrontation threaten to unleash even greater horrors upon the human world?",8470939:4.62:1651|7749279:4.64:1669|1539916:4.56:2599|4481992:4.63:1779|996564:4.59:2453|251910:4.7:1891|1842417:4.6:2450|8853350:4.63:1627|453706:4.7:1906|1324764:4.51:4233|18143818:4.64:1530|251909:4.67:1937|13557:4.6:2057|6381255:4.59:1770|1842377:4.53:2081|1842376:4.69:1842|15743989:4.65:1581|251913:4.66:1998|251911:4.62:1910|1324795:4.6:2179
5083852,"Berserk, Vol. 27",Kentaro Miura,4.65,219.0,217.0,English,9,59,388,1626,5463,Manga|Fantasy|Comics|Horror|Graphic Novels|Fiction|Seinen,79796-berserk,2004.0,"Now equipped with the mystical Berserker Armor, Guts fights on against the dragon-form of Grunbeld and his legion of fanatic apostle soldiers. But the very armor that holds Guts together — in a nightmarishly literal sense — might be the last straw that tears his tortured mind apart! While Guts struggles to hold his own against his inner demons, monsters of a very different sort rally in Windham as the Kushan Emperor, Ganishka, and the newly reborn Griffith rally their forces in a head-to-head struggle for control of all of Midland. But when the dust finally settles, there may be little left of the kingdom to claim!",251910:4.7:1891|251909:4.67:1937|453706:4.7:1906|4481992:4.63:1779|8470939:4.62:1651|6381255:4.59:1770|7749279:4.64:1669|251911:4.62:1910|8853350:4.63:1627|1842376:4.69:1842|13557:4.6:2057|251913:4.66:1998|1982828:4.69:1827|7131571:4.54:1707|1842377:4.53:2081|3650022:4.59:2127|22609489:4.72:1833|15743989:4.65:1581|6082928:4.59:2326|18143818:4.64:1530
33253014,"Berserk, Vol. 38 (Berserk, #38)",Kentaro Miura,4.66,187.0,208.0,English,7,32,309,1113,3995,Manga|Fantasy|Comics|Horror|Fiction|Graphic Novels|Comics Manga,79796-berserk,2016.0,"Guts the Black Swordsman and company reach the isle of Skellig in hopes that Elven magic can cure the afflicted Casca, but the cure could come at a deadly cost. Meanwhile, Guts’ Band of the Hawk comrade Rickert journeys to the city of Falconia, the seat of power for Griffith, the resurrected former Hawks commander. But the glittering towers of Falconia cast the darkest of shadows, and a legion of demonic monstrosities dwell in the darkness!",1324795:4.6:2179|1324783:4.57:2226|4481992:4.63:1779|8470939:4.62:1651|251910:4.7:1891|453706:4.7:1906|7749279:4.64:1669|251909:4.67:1937|13557:4.6:2057|1842377:4.53:2081|3650022:4.59:2127|6381255:4.59:1770|1842376:4.69:1842|251913:4.66:1998|6082947:4.62:2297|251911:4.62:1910|6082928:4.59:2326|8853350:4.63:1627|18143818:4.64:1530|453711:4.54:2760
2571920,"Berserk, Vol. 22",Kentaro Miura,4.65,290.0,224.0,English,8,58,472,1811,6086,Manga|Fantasy|Comics|Horror|Graphic Novels|Fiction|Seinen,79796-berserk,2001.0,"The world of Guts, the Black Swordsman, is changing in a hurry. Though a demonic maelstrom has leveled the dreaded Tower of Conviction and ended the reign of terror of its grand inquisitor, Mozgus, peace has not returned to Midland. The Tower’s fall has heralded the unexpected return of Griffith, Guts former leader, last seen transformed from a shattered husk into one of the demon lords of the Godhand. but Griffith looks like his old self again — and with his dreams of carving out a kingdom by his own hand still intact. He’s raising a new Band of the Hawk, but this time he’s recruiting from the dark side to fulfill his deadly destiny!",8853350:4.63:1627|8470939:4.62:1651|7749279:4.64:1669|7131571:4.54:1707|251910:4.7:1891|15743989:4.65:1581|18143818:4.64:1530|251911:4.62:1910|4481992:4.63:1779|6381255:4.59:1770|20367709:4.66:1487|251909:4.67:1937|453706:4.7:1906|1982828:4.69:1827|13557:4.6:2057|1842376:4.69:1842|453711:4.54:2760|251913:4.66:1998|3650022:4.59:2127|1539916:4.56:2599
243845281,Graduating With Honor (Heavenly Chaos Book 4),Daniel Schinhofen,4.69,40.0,440.0,English,4,9,39,130,619,Fantasy,391504-heavenly-chaos,2025.0,"The second semester at the Academy was underway, and Benedict’s life was now even more complicated than it ever had been. His relationship officially expanded when Sadie joined him and Atropos, not just at their party, but as a girlfriend. That caused some bumps as old traumas resurfaced and cast doubts over their new relationship. All of them were determined to make it work, and because they were able to work through those moments, they grew closer together.

If balancing a new relationship wasn’t difficult enough, the three of them also had to use Pockets to advance up the Ranks. Having delved up a full Rank during the last tournament, the now-expanded party decided to do it again, leaving the Rank 4 Pocket for the Rank 5. They weren’t alone on that dangerous course, either, as their good friends were doing the exact same thing.

That pushed both groups into moments where a fraction of a second could’ve meant death for one or more of them. The worst instances came at the hands of different shamans. The blood ritualist almost killed Benedict on their first delve, but his Blood Healing had kept him alive. The worst was the warlord who nearly killed Benedict, Atropos, and Sadie at different points throughout their fight.

They survived and reached Rank 5, advancing a step closer to the Heavens. At this Rank, their Spheres would allow them to augment themselves. It was normally a huge point in every Holder’s journey, but that took a backseat to what Benedict found out and received from his bloodline. Having been given a gift that would endanger him if it were known, he still used it to help Sadie break free of her family.

They had a couple of weeks before the semester was going to end. Once it did, they— along with Victor’s group— would be ready for the Rank 5 tournament, which had been shrouded in secrecy. They were focused on not just entering that tournament, but emerging as the best of those who entered. The only thing left afterward would be graduation and then leaving the world behind, finding other worlds with Pockets that they could delve to keep advancing.",243732978:4.55:523|235718610:4.79:1445|243251749:4.77:203|221761781:4.71:1536|244082664:4.76:217|243655738:4.51:831|240039324:4.65:501|239713764:4.81:623|238227357:4.62:993|237773259:4.68:622|236568919:4.54:604|243291528:4.6:317|235787056:4.64:1057|242367877:4.76:273|242107358:4.57:569|241386929:4.62:770|243455810:4.84:615|239916610:4.64:1225|241661760:4.55:629|231258916:4.6:499
242367877,Pay Backs (Valens Heritage Book 10),Jan Stryvant,4.76,25.0,284.0,English,0,2,8,44,219,,,2025.0,"The time has come to pay Sawyer back for all of his support and hard work. For taking a chance on Sean when no one else would. For getting Sean the needed supplies for the war back when no one else was able. Sawyer has always been in Sean's court and has gone above and beyond more than once.

And let's not even mention the help he's provided to Mihalis and Troy!

So the lions are off to Nighthome to help Sawyer take the crown, which in goblin society is a lot more like a hostile corporate takeover, combined with counting coup, than any kind of violence.

Hopefully.

However, as long as they're going to be in the Goblin and Dark Elves homeland, there's a little matter of taking House Uunregarten to task for a number of actions that have impacted House Valens, Sean's wife Cali, their children, and of course the lions. House Uunregarten is about to learn that it is never wise to piss off a lion. Especially not one who is immortal, knows magic, and is going to show up with ten thousand of his best friends to have a ... few words.

 This is the last of the Valens' Books. The Author is of course grateful to all of you who have supported him for all of this series. However no amount of begging, whining, crying, or screaming will change his mind. Large sums of money however...
Also, if you see a brightly colored box with a nice ribbon on it, and it's not Christmas? Better to leave that one alone!",241424023:4.61:1010|243845281:4.69:801|240327412:4.71:571|242033635:4.78:256|243455810:4.84:615|221761781:4.71:1536|241384561:4.72:324|241386929:4.62:770|244082664:4.76:217|243732978:4.55:523|238869524:4.75:787|241661760:4.55:629|243655738:4.51:831|239916610:4.64:1225|234398426:4.65:1545|236572491:4.61:561|243291528:4.6:317|236568919:4.54:604|240211308:4.61:686|237773259:4.68:622
