book_id,title,author,author_l-f,additional_authors,isbn,isbn13,my_rating,average_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,exclusive_shelf,my_review,spoiler,private_notes,read_count,owned_copies
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.25,Back Bay Books,Paperback,1088.0,2005.0,1996.0,,2025/12/14,to-read,to-read (#529),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.28,Doubleday,Hardcover,720.0,2015.0,2015.0,,2025/12/11,to-read,to-read (#528),to-read,,,,0,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.22,Gollancz,Paperback,515.0,2007.0,2006.0,,2025/12/10,to-read,to-read (#527),to-read,,,,0,0
26619686,Statistical Rethinking: A Bayesian Course with Examples in R and Stan (Chapman & Hall/CRC Texts in Statistical Science),Richard McElreath,"McElreath, Richard",,"=""1482253445""","=""9781482253443""",0,4.7,Chapman and Hall/CRC,Hardcover,487.0,2015.0,2015.0,,2025/12/09,to-read,to-read (#526),to-read,,,,0,0
118054,Design of Wood Structures-ASD/LRFD,Donald E. Breyer,"Breyer, Donald E.","Kenneth Fridley, David Pollock Jr., Kelly Cobeen","=""0071455396""","=""9780071455398""",5,4.16,McGraw-Hill Professional,Hardcover,1025.0,2007.0,2006.0,,2025/10/27,,,read,,,,0,0
232941278,Ingram,Louis C.K.,"C.K., Louis",,"=""1637747918""","=""9781637747919""",0,4.18,BenBella Books,Kindle Edition,288.0,2025.0,2025.0,,2025/09/19,to-read,to-read (#525),to-read,,,,0,0
743143,Botany in a Day: Thomas J. Elpel's Herbal Field Guide to Plant Families,Thomas J. Elpel,"Elpel, Thomas J.",,"=""""","=""""",0,4.45,HOPS Press,Paperback,196.0,2000.0,1998.0,,2025/09/05,to-read,to-read (#524),to-read,,,,0,0
52105688,"The Jobs To Be Done Playbook: Align Your Markets, Organization, and Strategy Around Customer Needs",Jim Kalbach,"Kalbach, Jim","Micahel Tanamachi, Michael Schrage","=""1933820527""","=""9781933820521""",0,4.07,Two Waves Books,Kindle Edition,323.0,2020.0,2020.0,,2025/08/18,to-read,to-read (#523),to-read,,,,0,0
24737268,Badass: Making Users Awesome,Kathy Sierra,"Sierra, Kathy",,"=""1491919019""","=""9781491919019""",0,4.17,O'Reilly Media,Paperback,293.0,2015.0,2015.0,,2025/08/18,to-read,to-read (#522),to-read,,,,0,0
35657708,How To Build A Car,Adrian Newey,"Newey, Adrian",,"=""000819680X""","=""9780008196806""",0,4.45,HarperCollins,Hardcover,0.0,2017.0,2017.0,,2025/08/10,to-read,to-read (#521),to-read,,,,0,0
18276352,But How Do It Know? The Basic Principles of Computers for Everyone,J. Clark Scott,"Scott, J. Clark",,"=""0615303765""","=""9780615303765""",0,4.46,John C. Scott,Paperback,221.0,2009.0,2009.0,,2025/06/20,to-read,to-read (#520),to-read,,,,0,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.42,Random House Worlds,Paperback,1009.0,2002.0,1998.0,,2025/06/19,,,read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,3.78,HarperTorch,Mass Market Paperback,540.0,2006.0,1974.0,,2025/06/15,to-read,to-read (#519),to-read,,,,0,0
38900866,It Doesn't Have to Be Crazy at Work,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0062874780""","=""9780062874788""",0,4.01,Harper Business,Hardcover,240.0,2018.0,2018.0,,2025/06/05,to-read,to-read (#518),to-read,,,,0,0
100021,What Does It All Mean? A Very Short Introduction to Philosophy,Thomas Nagel,"Nagel, Thomas",,"=""0195052161""","=""9780195052169""",3,3.63,Oxford University Press,Paperback,112.0,1987.0,1987.0,,2025/04/22,,,read,,,,1,0
50776459,Shape Up: Stop Running in Circles and Ship Work that Matters,Ryan Singer,"Singer, Ryan",Jason Fried,"=""""","=""""",0,4.26,Basecamp,ebook,133.0,2019.0,2019.0,,2025/04/26,to-read,to-read (#517),to-read,,,,0,0
1038873,Think: A Compelling Introduction to Philosophy,Simon Blackburn,"Blackburn, Simon",,"=""0192100246""","=""9780192100245""",0,3.74,"Oxford University Press, USA",Hardcover,312.0,1999.0,1999.0,,2025/04/22,to-read,to-read (#516),to-read,,,,0,0
11527504,A Little History of Philosophy (Little Histories),Nigel Warburton,"Warburton, Nigel",,"=""0300152086""","=""9780300152081""",0,4.12,Yale University Press,Hardcover,252.0,2011.0,2011.0,,2025/04/22,to-read,to-read (#515),to-read,,,,0,0
37542581,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,"Macintyre, Ben",,"=""0771060335""","=""9780771060335""",0,4.52,Signal,Hardcover,384.0,2018.0,2018.0,,2025/04/18,to-read,to-read (#514),to-read,,,,0,0
20510512,Socratic Selling: How to Ask the Questions That Get the Sale,Kevin R. Daley,"Daley, Kevin R.",,"=""""","=""""",0,4.24,McGraw-Hill,Hardcover,228.0,1995.0,1995.0,,2023/01/25,to-read,to-read (#337),to-read,,,,0,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",5,4.17,Doubleday,Hardcover,352.0,2023.0,2023.0,,2025/03/13,,,read,,,,1,0
